,name,ratting,reviews,salaries,company_details
180,PVR Inox,4.0,3k,9.4k,Media & Entertainment | Gurgaon +137 other locations
181,Samvardhana Motherson Group,3.8,3k,12.8k,Auto Components | Noida +79 other locations
182,VE Commercial Vehicles,4.0,3k,13.1k,Automobile | Gurgaon/Gurugram +135 other locations
183,Viatris,4.2,3k,14.2k,Pharma | Canonsburg +72 other locations
184,Atos,3.8,2.9k,29.2k,IT Services & Consulting | Vilnius +45 other locations
185,Utkarsh Small Finance Bank,3.9,2.9k,9.6k,Banking | Varanasi +332 other locations
186,Square Yards,4.1,2.9k,8.3k,Real Estate | Gurgaon / Gurugram +44 other locations
187,Pidilite Industries,4.3,2.9k,10.3k,Chemicals | Mumbai +259 other locations
188,Abbott,4.2,2.9k,11k,Pharma | Illinois City +180 other locations
189,Subros,3.9,2.9k,12.1k,Auto Components | Noida +62 other locations
190,American Express,4.2,2.9k,21.7k,Financial Services | New York City +41 other locations
191,DCB Bank,3.8,2.9k,9.5k,Banking | Mumbai +314 other locations
192,Indian Oil Corporation,4.4,2.9k,7.9k,Oil & Gas | Delhi/NCR +275 other locations
193,Automatic Data Processing (ADP),4.1,2.9k,20.6k,Software Product | New Jersey +31 other locations
194,Berger Paints,3.7,2.9k,9k,Chemicals | Kolkata +276 other locations
195,Alembic Pharmaceuticals,4.0,2.9k,14.1k,Pharma | Vadodara/Baroda +158 other locations
196,Whitehat jr,3.5,2.9k,10k,EdTech | Mumbai +50 other locations
197,Bharat Electronics,4.2,2.9k,12k,Electronics Manufacturing | Bangalore/Bengaluru +60 other locations
198,Barclays,3.9,2.9k,25.7k,Banking | London +33 other locations
199,Sodexo,4.1,2.9k,9.7k,Facility Management Services | Issy les Moulineaux +137 other locations
200,Carelon Global Solutions,4.0,2.8k,25.5k,IT Services & Consulting | Bangalore Rural +17 other locations
201,Hindalco Industries,4.2,2.8k,10.5k,Metals & Mining | Mumbai +98 other locations
202,Lenskart,3.2,2.8k,10.5k,Internet | Faridabad +185 other locations
203,Bank of America,4.4,2.8k,25.7k,Banking | Charlotte +29 other locations
204,Ford Motor,4.4,2.8k,14.4k,Automobile | Dearborn +115 other locations
205,Alkem Laboratories,3.9,2.7k,9.5k,Pharma | Mumbai +172 other locations
206,Vishal Mega Mart,3.8,2.7k,6.6k,Retail | Gurgaon/Gurugram +332 other locations
207,Jindal Steel and Power,4.0,2.7k,13.9k,Iron & Steel | Delhi/NCR +135 other locations
208,HDFC Ergo General Insurance,4.0,2.7k,12k,Insurance | Mumbai +258 other locations
209,Cogent E Services,3.3,2.7k,9.1k,Noida +42 other locations
210,Maersk,4.3,2.7k,17.2k,Logistics | Copenhagen +41 other locations
211,RBL Bank,3.7,2.7k,17k,Banking | Mumbai +239 other locations
212,Escorts Kubota Limited,4.1,2.7k,11.8k,Automobile | Faridabad +139 other locations
213,Johnson Controls,3.6,2.7k,15.9k,Industrial Automation | Cork +51 other locations
214,Wipro Infotech,4.0,2.7k,14.8k,IT Services & Consulting | Bangalore +128 other locations
215,Jubilant Foods Works,3.8,2.7k,8.1k,Hospitality | Noida +214 other locations
216,Ipca Laboratories,4.0,2.7k,11.2k,Pharma | Mumbai +140 other locations
217,Reliance Digital,4.2,2.7k,7.8k,Retail | Mumbai +323 other locations
218,Indian Air Force,4.7,2.7k,5.3k,Defence & Aerospace | New Delhi +125 other locations
219,Glenmark Pharmaceuticals,4.0,2.7k,11.3k,Pharma | Mumbai +145 other locations
220,Synechron,3.6,2.7k,28k,IT Services & Consulting | New York +28 other locations
221,Aarti Industries,4.2,2.7k,13.7k,Agro Chemicals | Mumbai +45 other locations
222,Birlasoft,3.7,2.7k,29k,IT Services & Consulting | Pune +37 other locations
223,24/7 Customer,3.5,2.6k,13.3k,Software Product | San Jose +29 other locations
224,MRF Tyres,3.7,2.6k,11.6k,Auto Components | Chennai +173 other locations
225,Kotak Mahindara Life Insurance,3.8,2.6k,11.6k,Insurance | Mumbai +227 other locations
226,Honda Motorcycle & Scooter,4.1,2.6k,11k,Automobile | Gurgaon/Gurugram +237 other locations
227,Hindustan Coca Cola Beverages,4.2,2.6k,7.2k,Beverage | Bangalore +227 other locations
228,Paras Hospital,4.5,2.6k,3k,Healthcare | Gurgaon/Gurugram +51 other locations
229,PNB MetLife,3.4,2.6k,8.1k,Insurance | Mumbai +346 other locations
230,JK Cement,4.1,2.6k,8.8k,Building Material | Gurgaon / Gurugram +263 other locations
231,DTDC Express,3.8,2.6k,8.3k,Logistics | Bangalore/Bengaluru +238 other locations
232,Dabur,3.8,2.6k,8.2k,FMCG | Ghaziabad +271 other locations
233,Reliance Nippon Life Insurance,3.7,2.6k,8k,Insurance | Mumbai +446 other locations
234,UnitedHealth,4.1,2.6k,18.5k,Healthcare | Minnetonka +15 other locations
235,Ceat Tyres,4.0,2.6k,12.1k,Auto Components | Mumbai +120 other locations
236,KPIT Technologies,3.5,2.6k,21.1k,Software Product | Pune +32 other locations
237,HARMAN,3.8,2.6k,24.3k,Consumer Electronics & Appliances | Stamford +31 other locations
238,ABB,4.1,2.6k,15.7k,Industrial Automation | Zurich +96 other locations
239,NatWest Group,4.0,2.6k,19.9k,Banking | Mumbai +22 other locations
240,GeBBS Healthcare Solutions,3.7,2.5k,11k,Healthcare | Culver City +20 other locations
241,Conduent,3.5,2.5k,17.9k,BPO | Florham Park +25 other locations
242,InterGlobe Aviation,3.6,2.5k,12.7k,Aviation | Gurgaon/Gurugram +91 other locations
243,IGT Solutions,3.3,2.5k,11.9k,IT Services & Consulting | Gurgaon/Gurugram +41 other locations
244,CMS IT Services,3.1,2.5k,10.3k,IT Services & Consulting | Bangalore +144 other locations
245,State Street Corporation,3.8,2.5k,26.2k,Financial Services | Boston +24 other locations
246,RSPL Group,4.2,2.5k,8.7k,FMCG | Kanpur +213 other locations
247,Aditya Birla Sun Life Insurance,4.1,2.4k,8.5k,Insurance | Mumbai +392 other locations
248,TVS Credit,4.4,2.4k,6.5k,NBFC | Chennai +333 other locations
249,Sahrudaya Healthcare (Medicover Hospitals),4.6,2.4k,3k,Healthcare | Hyderabad/Secunderabad +40 other locations
250,Alstom Transportation,3.8,2.4k,12.9k,Engineering & Construction | Saint-Ouen +67 other locations
251,ArcelorMittal Nippon Steel,4.1,2.4k,10k,Iron & Steel | Surat +74 other locations
252,Reliance SMSL,4.0,2.4k,5.7k,BPO | Mumbai +503 other locations
253,Titan Company,4.3,2.4k,8.6k,Retail | Bangalore +152 other locations
254,Tata AIG,4.1,2.4k,10.6k,Insurance | Mumbai +231 other locations
255,ACC,3.9,2.4k,9.8k,Building Material | Mumbai +232 other locations
256,PepsiCo,4.1,2.4k,11k,Food Processing | Harrison +238 other locations
257,IDFC FIRST Bharat,4.5,2.4k,4.5k,NBFC | Tiruchirappalli +322 other locations
258,Kyndryl,4.0,2.4k,20.6k,IT Services & Consulting | New York City +28 other locations
259,UPL,4.2,2.4k,10.7k,Agro Chemicals | Mumbai +168 other locations
260,S&P Global,4.2,2.4k,17.9k,Analytics & KPO | New York City +35 other locations
261,Motilal Oswal Financial Services,3.8,2.4k,10.3k,Financial Services | Mumbai +137 other locations
262,Shoppers Stop,4.1,2.4k,7.1k,Retail | Mumbai +72 other locations
263,Tata Technologies,3.7,2.4k,20.8k,Engineering & Construction | Singapore +46 other locations
264,Grasim Industries,4.0,2.4k,10.4k,Building Material | Nagda +147 other locations
265,Torrent Pharmaceuticals,3.9,2.4k,10.3k,Pharma | Ahmedabad +105 other locations
266,Zensar Technologies,3.7,2.4k,26.2k,IT Services & Consulting | Pune +24 other locations
267,Tata Capital,4.1,2.3k,9.3k,NBFC | Mumbai +237 other locations
268,Mankind Pharma,3.9,2.3k,8.5k,New Delhi +210 other locations
269,Afcons Infrastructure,4.3,2.3k,8k,Engineering & Construction | Mumbai +104 other locations
270,Dilip Buildcon,4.0,2.3k,8k,Engineering & Construction | Bhopal +200 other locations
271,UNO Minda,4.0,2.3k,9.4k,Auto Components | Gurgaon +91 other locations
272,Walmart,3.9,2.3k,18.2k,Retail | Bangalore/Bengaluru +83 other locations
273,Flex,4.0,2.3k,17k,Logistics | Austin +40 other locations
274,Tech Mahindra Business Services,3.4,2.3k,11.4k,Mumbai +49 other locations
275,Bajaj Allianz General Insurance,3.9,2.3k,9k,Insurance | Guntakal +237 other locations
276,Croma,4.0,2.3k,7.5k,Retail | Mumbai +159 other locations
277,Statestreet HCL Services,3.3,2.3k,16.8k,BPO | New Delhi +16 other locations
278,ElasticRun,3.5,2.3k,6.4k,Logistics | Pune +354 other locations
279,GATI-KWE,4.0,2.3k,5.7k,Logistics | Hyderabad/Secunderabad +154 other locations
280,Capita,3.6,2.2k,14k,IT Services & Consulting | Indore +26 other locations
281,HDFC Sales,4.0,2.2k,7.9k,Financial Services | Mumbai +292 other locations
282,I Process Services,3.9,2.2k,5.4k,Mumbai +334 other locations
283,Nokia,4.2,2.2k,15.3k,Telecom | Espoo +155 other locations
284,Societe Generale Global Solution Centre,3.9,2.2k,20.9k,IT Services & Consulting | Paris +17 other locations
285,Apollo Tyres,4.1,2.2k,9.3k,Auto Components | Gurgaon/Gurugram +151 other locations
286,Sammaan Capital Limited,3.8,2.2k,8.2k,NBFC | Gurgaon/Gurugram +191 other locations
287,Landmark Group,4.0,2.2k,9.2k,Retail | Dubai Marina +149 other locations
288,Nestle,4.0,2.2k,9.4k,FMCG | Vevey +247 other locations
289,Quest Global,3.6,2.2k,18.7k,IT Services & Consulting | Singapore +36 other locations
290,AGS Health,4.0,2.2k,10.4k,Analytics & KPO | Washington DC +44 other locations
291,Fiserv,3.3,2.2k,18.9k,FinTech | Brookfield +30 other locations
292,Max Healthcare,4.1,2.2k,8.7k,Healthcare | Delhi/NCR +62 other locations
293,Blue Dart Express,4.1,2.2k,6.4k,Logistics | Mumbai +244 other locations
294,BlackBuck,3.8,2.1k,6.1k,Internet | Bangalore +333 other locations
295,Suzlon Group,4.1,2.1k,7.3k,Power | Pune +112 other locations
296,Domino's Pizza,4.0,2.1k,4.4k,Ypsilanti +225 other locations
297,Bajaj Electricals,4.0,2.1k,7.9k,Consumer Electronics & Appliances | Mumbai +201 other locations
298,IKS Health,3.6,2.1k,9.9k,BPO | Mumbai +19 other locations
299,KocharTech,4.0,2.1k,3.8k,IT Services & Consulting | Gurgaon/Gurugram +24 other locations
300,Axis Direct,3.9,2.1k,5.6k,Financial Services | San Mateo +260 other locations
301,G4S,4.0,2.1k,4.8k,Law Enforcement & Security | Gurgaon/Gurugram +141 other locations
302,Sterlite Technologies,3.8,2.1k,10.7k,Hardware & Networking | Pune +83 other locations
303,Zomato,3.8,2.1k,12.9k,Internet | Gurgaon +191 other locations
304,Capgemini Engineering,3.5,2.1k,18.3k,Pune +24 other locations
305,McDonald's,4.2,2.1k,4.6k,Chicago +140 other locations
306,Britannia,4.1,2.1k,7.5k,FMCG | Bengaluru +243 other locations
307,Micro Labs,3.7,2.1k,9.4k,Pharma | Bangalore/Bengaluru +131 other locations
308,Shree Cement,3.8,2.1k,9.1k,Building Material | Kolkata +219 other locations
309,XpressBees,3.7,2.1k,7.5k,Pune +252 other locations
310,PhonePe,4.0,2.1k,9.9k,FinTech | Bangalore +261 other locations
311,KPMG Global Services,3.6,2k,19.3k,Management Consulting | Bangana +32 other locations
312,Exide Industries,3.5,2k,7.8k,Auto Components | Kolkata +190 other locations
313,Huawei Technologies,4.0,2k,10.2k,Telecom | Gurgaon/Gurugram +101 other locations
314,Patanjali Ayurved,4.0,2k,6.3k,FMCG | Haridwar +262 other locations
315,TVS Supply Chain Solutions,3.9,2k,8.3k,Chennai +137 other locations
316,Voltas,4.0,2k,8.1k,Consumer Electronics & Appliances | Mumbai +180 other locations
317,KFintech,3.6,2k,10.2k,Hyderabad +102 other locations
318,Mahindra Logistics,4.0,2k,8.6k,Logistics | Mumbai +139 other locations
319,Fujitsu,3.8,2k,16.2k,IT Services & Consulting | Bangalore/Bengaluru +32 other locations
320,Fortis Healthcare,4.1,2k,7.2k,Healthcare | Gurgaon/Gurugram +63 other locations
321,DS Group,4.1,2k,6.2k,FMCG | Noida +223 other locations
322,Yazaki,3.8,2k,7.8k,Auto Components | Tokyo +73 other locations
323,Taj Hotels Resorts and Palaces,4.2,2k,4.8k,Mumbai +98 other locations
324,Indus Towers,3.9,2k,7.9k,Hardware & Networking | Gurgaon +173 other locations
